source,deals_count,paid_count,avg_calls,deals_with_calls,paid_rate,coverage_pct
Facebook Ads,4848,201,18.68,4691,4.15,96.76
Google Ads,4225,173,17.03,4120,4.09,97.51
Organic,2546,142,14.52,2243,5.58,88.1
Tiktok Ads,2051,56,17.03,1989,2.73,96.98
SMM,1729,90,16.65,1667,5.21,96.41
Youtube Ads,1657,53,18.84,1628,3.2,98.25
CRM,1655,23,19.97,1623,1.39,98.07
Bloggers,1088,39,18.38,1041,3.58,95.68
Telegram posts,1000,40,17.98,972,4.0,97.2
Webinar,378,26,18.28,361,6.88,95.5
Partnership,191,2,12.26,126,1.05,65.97
Test,159,3,15.99,157,1.89,98.74
Offline,2,0,16.0,2,0.0,100.0
