Metric,Full (Ours),Filtered (Class),Diff,Reference,Match
Total Deals (T),"21,592","3,592",-83.4%,"4,572",-21.4%
Paid Deals (B),858,841,-2.0%,843,-0.2%
Revenue (realistic),0,"3,593,476",+0.0%,-,-
Revenue (contract),"6,295,401","6,295,401",+0.0%,"3,580,815",+75.8%
Revenue (cash),"943,651","943,651",+0.0%,-,-
Spend (AC),"149,523.45","149,523.45",+0.0%,"149,523.45",+0.0%
Paid Rate (%),3.97,23.41,+489.2%,18.44,+27.0%
CPL (€),6.92,41.63,+501.1%,8.27,+403.3%
CPA (€),174.27,177.79,+2.0%,177.37,+0.2%
ROAS (realistic),0.00,24.03,+0.0%,-,-
ROAS (contract),42.10,42.10,+0.0%,-,-
"AOV (realistic, €)",0,"4,273",+0.0%,-,-
"AOV (contract, €)","7,337","7,486",+2.0%,-,-
