source,campaign,spend,leads,paid_deals,revenue_cash,revenue_contract,cpl,cpa,cash_roas,contract_roas
Google Ads,performancemax_eng_DE,34183.45,245.0,1.0,1000.0,11000.0,139.5242857142857,34183.45,0.029253922585344663,0.3217931484387913
Youtube Ads,youtube_shorts_DE,14149.22,1631.0,53.0,59450.0,415500.0,8.675180870631515,266.9664150943396,4.201645037676989,29.365576335656666
Bloggers,NA,13439.0,287.0,14.0,9350.0,88000.0,46.825783972125436,959.9285714285714,0.6957362899025226,6.5481062579060945
Google Ads,discovery_DE,9750.63,94.0,2.0,2000.0,22000.0,103.73010638297872,4875.315,0.20511495154672058,2.2562644670139265
Tiktok Ads,12.07.2023wide_DE,9471.52,1574.0,48.0,61850.0,333500.0,6.017484116899619,197.32333333333335,6.530102876834975,35.21082149433248
SMM,NA,7269.52,1335.0,83.0,81950.0,551500.0,5.445333333333334,87.58457831325302,11.273096435528068,75.86470633549395
Facebook Ads,02.07.23wide_DE,6913.6,975.0,52.0,59750.0,394000.0,7.090871794871795,132.95384615384617,8.642386021754223,56.989122888220315
Telegram posts,NA,6860.36,81.0,6.0,9500.0,43500.0,84.6958024691358,1143.3933333333332,1.3847669801584757,6.340775119673021
Facebook Ads,04.07.23recentlymoved_DE,4523.31,749.0,31.0,36300.0,187200.0,6.039132176234981,145.91322580645163,8.025096665937111,41.38562247557651
Facebook Ads,03.07.23women,4219.75,612.0,31.0,27600.0,253000.0,6.895016339869281,136.1209677419355,6.5406718407488595,59.956158540197876
Facebook Ads,07.07.23LAL_DE,4200.37,542.0,28.0,47150.0,243000.0,7.749760147601476,150.01321428571427,11.225201589383794,57.85204636734383
Facebook Ads,12.09.23interests_Uxui_DE,3753.06,530.0,27.0,25600.0,229000.0,7.081245283018868,139.00222222222223,6.821100648537461,61.01687689512025
Google Ads,performancemax_wide_AT,3491.7400000000002,124.0,6.0,5300.0,33000.0,28.159193548387098,581.9566666666667,1.5178678824883867,9.450875494739012
Google Ads,brand_search_eng_DE,3457.82,168.0,15.0,30250.0,107000.0,20.582261904761907,230.52133333333333,8.748286492645654,30.94435222192017
Google Ads,1performancemax_wide_PL,2961.38,261.0,4.0,1600.0,15000.0,11.346283524904216,740.345,0.5402886492108409,5.065206086351633
Facebook Ads,24.09.23retargeting_DE,2817.29,479.0,17.0,16200.0,143000.0,5.8816075156576195,165.72294117647058,5.750206758977599,50.75799793418498
Google Ads,gen_analyst_DE,2551.0,35.0,3.0,3000.0,33500.0,72.88571428571429,850.3333333333334,1.1760094080752646,13.132105056840455
Facebook Ads,17.03.24wide_AT,1435.24,37.0,2.0,800.0,7500.0,38.79027027027027,717.62,0.5573980658287115,5.225606867144171
Google Ads,discovery_wide1_AT,1308.18,62.0,0.0,0.0,0.0,21.09967741935484,,0.0,0.0
Facebook Ads,15.07.23b_DE,1256.5,139.0,7.0,2550.0,31500.0,9.03956834532374,179.5,2.029446876243534,25.069637883008358
Tiktok Ads,20.03.2024wide_PL,993.82,121.0,3.0,900.0,12000.0,8.213388429752067,331.27333333333337,0.9055965869070858,12.074621158761143
Facebook Ads,30.11.23wide_DE,871.7,0.0,0.0,0.0,0.0,,,0.0,0.0
Webinar,blog2_DE,773.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Facebook Ads,20.03.24_widde_PL,670.4300000000001,59.0,0.0,0.0,0.0,11.363220338983052,,0.0,0.0
Webinar,08.04.24wide_webinar_DE,576.43,17.0,1.0,11000.0,11000.0,33.90764705882353,576.43,19.08297625036865,19.08297625036865
Tiktok Ads,22.05.2024wide_DE,570.46,72.0,2.0,1600.0,4000.0,7.923055555555556,285.23,2.8047540581285277,7.011885145321319
Facebook Ads,20.03.24interests_WebDev_PL,484.76,35.0,0.0,0.0,0.0,13.850285714285715,,0.0,0.0
Test,07.12.23test_DE,444.17,0.0,0.0,0.0,0.0,,,0.0,0.0
Tiktok Ads,15.03.2024wide_AT,425.01,11.0,1.0,300.0,4000.0,38.63727272727272,425.01,0.7058657443354274,9.411543257805699
Facebook Ads,20.05.24interests_DE,382.43,42.0,0.0,0.0,0.0,9.10547619047619,,0.0,0.0
Facebook Ads,01.04.23women_PL,357.25,31.0,0.0,0.0,0.0,11.524193548387096,,0.0,0.0
Webinar,08.06.24wide_webinar_DE,345.15999999999997,5.0,0.0,0.0,0.0,69.032,,0.0,0.0
Facebook Ads,05.07.23interests_DE,333.73,37.0,0.0,0.0,0.0,9.01972972972973,,0.0,0.0
Facebook Ads,18.10.23wide_gos_DE,325.1,42.0,2.0,2000.0,22000.0,7.740476190476191,162.55,6.151953245155337,67.6714856967087
Webinar,14.11.23wide_webinar_DE,310.28,4.0,0.0,0.0,0.0,77.57,,0.0,0.0
Radio,NA,300.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Tiktok Ads,24.07.2023wide_DE,280.35,22.0,1.0,1000.0,4000.0,12.743181818181819,280.35,3.5669698591046903,14.267879436418761
Webinar,15.11.23wide_webinar_DE,273.35,0.0,0.0,0.0,0.0,,,0.0,0.0
Youtube Ads,youtube_shortsin_AT,249.28,14.0,0.0,0.0,0.0,17.805714285714284,,0.0,0.0
Tiktok Ads,05.09.2023wide_DE,244.51000000000002,6.0,1.0,1000.0,11000.0,40.75166666666667,244.51000000000002,4.089812277616457,44.98793505378103
Youtube Ads,shorts_PL,234.82999999999998,3.0,0.0,0.0,0.0,78.27666666666666,,0.0,0.0
Webinar,bbo_DE,200.0,6.0,0.0,0.0,0.0,33.333333333333336,,0.0,0.0
Facebook Ads,20.03.24interests_WebDev_AT,191.32999999999998,7.0,0.0,0.0,0.0,27.33285714285714,,0.0,0.0
Webinar,01.02.24wide_webinar_DE,189.91,0.0,0.0,0.0,0.0,,,0.0,0.0
Webinar,web2408_DE,189.04,12.0,4.0,4350.0,29500.0,15.753333333333332,47.26,23.011002962336015,156.05162928480746
Facebook Ads,15.03.24recentlymoved_AT,188.17000000000002,0.0,0.0,0.0,0.0,,,0.0,0.0
Facebook Ads,09.02.24berlin_dd_DE,179.89,22.0,0.0,0.0,0.0,8.17681818181818,,0.0,0.0
Facebook Ads,15.04.24LAL_ab__PL,167.63,7.0,0.0,0.0,0.0,23.947142857142858,,0.0,0.0
Test,02.05.24test_DE,164.04,121.0,1.0,1000.0,11000.0,1.3557024793388428,164.04,6.0960741282614,67.0568154108754
Facebook Ads,12.06.24wide_DE,93.93,4.0,0.0,0.0,0.0,23.4825,,0.0,0.0
Google Ads,comp_search_DE,92.47,1.0,0.0,0.0,0.0,92.47,,0.0,0.0
Facebook Ads,10.07.23wide_com_DE,91.60000000000001,5.0,0.0,0.0,0.0,18.32,,0.0,0.0
Facebook Ads,20.03.24recentlymoved_PL,81.13,0.0,0.0,0.0,0.0,,,0.0,0.0
Facebook Ads,20.05.24wide_DE,76.72,8.0,1.0,1000.0,11000.0,9.59,76.72,13.034410844629823,143.37851929092804
Facebook Ads,07.12.23test_DE,70.5,0.0,0.0,0.0,0.0,,,0.0,0.0
Facebook Ads,02.08.23interests_DE,69.3,8.0,0.0,0.0,0.0,8.6625,,0.0,0.0
Webinar,NA,16.87,227.0,8.0,7600.0,61000.0,0.07431718061674009,2.10875,450.50385299347954,3615.886188500296
Google Ads,NA,1.93,1.0,0.0,0.0,0.0,1.93,,0.0,0.0
Bloggers,Bloggernina_DE,0.0,24.0,2.0,1200.0,13000.0,0.0,0.0,,
Bloggers,Bloggerperr_DE,0.0,2.0,0.0,0.0,0.0,0.0,,,
Bloggers,BloggerShina_DE,0.0,246.0,11.0,10350.0,108000.0,0.0,0.0,,
Bloggers,anastasia_de_DE,0.0,45.0,0.0,0.0,0.0,0.0,,,
Bloggers,Genie_DE,0.0,5.0,0.0,0.0,0.0,0.0,,,
Bloggers,adv_DE,0.0,3.0,0.0,0.0,0.0,0.0,,,
Bloggers,blog2_DE,0.0,53.0,1.0,1000.0,11000.0,0.0,0.0,,
Bloggers,bbo_DE,0.0,142.0,0.0,0.0,0.0,0.0,,,
Bloggers,arina_DE,0.0,23.0,1.0,450.0,4500.0,0.0,0.0,,
Bloggers,anuta_DE,0.0,1.0,0.0,0.0,0.0,0.0,,,
Bloggers,blog_DE,0.0,3.0,0.0,0.0,0.0,0.0,,,
Bloggers,blog_de_DE,0.0,8.0,0.0,0.0,0.0,0.0,,,
Bloggers,bloggerfrai_DE,0.0,23.0,2.0,4350.0,7500.0,0.0,0.0,,
Bloggers,marue_DE,0.0,1.0,0.0,0.0,0.0,0.0,,,
Bloggers,ruslana_DE,0.0,2.0,0.0,0.0,0.0,0.0,,,
Bloggers,sushechka_PL,0.0,2.0,0.0,0.0,0.0,0.0,,,
Bloggers,tyk_DE,0.0,17.0,0.0,0.0,0.0,0.0,,,
Bloggers,Blogger_snezh_DE,0.0,11.0,0.0,0.0,0.0,0.0,,,
Bloggers,Blogff_DE,0.0,6.0,0.0,0.0,0.0,0.0,,,
Bloggers,BloggerIvan,0.0,12.0,0.0,0.0,0.0,0.0,,,
Bloggers,5555_DE,0.0,5.0,0.0,0.0,0.0,0.0,,,
Bloggers,Bolgspeak_DE,0.0,1.0,0.0,0.0,0.0,0.0,,,
Facebook Ads,08.06.24wide_webinar_DE,0.0,107.0,0.0,0.0,0.0,0.0,,,
Facebook Ads,08.04.24wide_webinar_DE,0.0,112.0,0.0,0.0,0.0,0.0,,,
Facebook Ads,14.11.23wide_webinar_DE,0.0,105.0,0.0,0.0,0.0,0.0,,,
CRM,referral,0.0,3.0,1.0,500.0,4000.0,0.0,0.0,,
CRM,price_DE,0.0,12.0,0.0,0.0,0.0,0.0,,,
CRM,mailreg_DE,0.0,4.0,0.0,0.0,0.0,0.0,,,
CRM,mail_DE,0.0,2.0,0.0,0.0,0.0,0.0,,,
CRM,mail_3,0.0,5.0,0.0,0.0,0.0,0.0,,,
CRM,webinar1604,0.0,294.0,0.0,0.0,0.0,0.0,,,
CRM,web2408_DE,0.0,109.0,2.0,350.0,3500.0,0.0,0.0,,
CRM,web2211_DE,0.0,83.0,0.0,0.0,0.0,0.0,,,
CRM,webinar1906,0.0,277.0,0.0,0.0,0.0,0.0,,,
Bloggers,women_DE,0.0,1.0,0.0,0.0,0.0,0.0,,,
CRM,1004start,0.0,11.0,0.0,0.0,0.0,0.0,,,
CRM,1005start,0.0,47.0,2.0,2000.0,22000.0,0.0,0.0,,
CRM,1006start,0.0,19.0,3.0,2300.0,26000.0,0.0,0.0,,
CRM,11.10_prizes_DE,0.0,2.0,0.0,0.0,0.0,0.0,,,
CRM,1406start,0.0,24.0,0.0,0.0,0.0,0.0,,,
CRM,1704start,0.0,28.0,1.0,1000.0,11000.0,0.0,0.0,,
CRM,1706_DE,0.0,19.0,0.0,0.0,0.0,0.0,,,
CRM,2004start,0.0,21.0,0.0,0.0,0.0,0.0,,,
CRM,2005_Lost_DE,0.0,6.0,1.0,1000.0,11000.0,0.0,0.0,,
CRM,26.10start,0.0,14.0,1.0,350.0,3500.0,0.0,0.0,,
CRM,29.11start,0.0,8.0,0.0,0.0,0.0,0.0,,,
CRM,2905start,0.0,30.0,1.0,500.0,3500.0,0.0,0.0,,
CRM,BVRE,0.0,2.0,0.0,0.0,0.0,0.0,,,
CRM,Consult_DE,0.0,7.0,0.0,0.0,0.0,0.0,,,
CRM,LOST_de,0.0,7.0,0.0,0.0,0.0,0.0,,,
CRM,NA,0.0,557.0,6.0,2300.0,27000.0,0.0,0.0,,
CRM,Trigger_DE,0.0,38.0,5.0,4300.0,44500.0,0.0,0.0,,
CRM,bf_DE,0.0,13.0,0.0,0.0,0.0,0.0,,,
CRM,hands_DE,0.0,14.0,1.0,1000.0,11500.0,0.0,0.0,,
Bloggers,podslush_DE,0.0,10.0,1.0,1500.0,0.0,0.0,0.0,,
Bloggers,podrugi_DE,0.0,7.0,0.0,0.0,0.0,0.0,,,
Bloggers,of_DE,0.0,9.0,0.0,0.0,0.0,0.0,,,
Bloggers,mu_DE,0.0,137.0,7.0,4900.0,56000.0,0.0,0.0,,
