source,total_deals,duplicate_lost,paid_deals,duplicate_pct,real_deals,naive_paid_rate,corrected_paid_rate,impact_pp
Facebook Ads,4850,119,202,2.45,4731,4.16,4.27,0.11
Google Ads,4226,111,173,2.63,4115,4.09,4.2,0.11
Organic,2589,1085,147,41.91,1504,5.68,9.77,4.09
Tiktok Ads,2051,48,56,2.34,2003,2.73,2.8,0.07
SMM,1730,59,91,3.41,1671,5.26,5.45,0.19
Youtube Ads,1657,39,53,2.35,1618,3.2,3.28,0.08
CRM,1656,186,24,11.23,1470,1.45,1.63,0.18
Bloggers,1089,14,39,1.29,1075,3.58,3.63,0.05
Telegram posts,1000,8,40,0.8,992,4.0,4.03,0.03
Webinar,378,73,26,19.31,305,6.88,8.52,1.64
Partnership,203,0,4,0.0,203,1.97,1.97,0.0
Test,159,3,3,1.89,156,1.89,1.92,0.03
Offline,2,0,0,0.0,2,0.0,0.0,0.0
,2,0,0,0.0,2,0.0,0.0,0.0
