date,deals,paid_deals,revenue_cash,revenue_contract,spend,calls
2023-06-30,0.0,0.0,0.0,0.0,0.0,7.0
2023-07-03,3.0,0.0,0.0,0.0,10.27,2.0
2023-07-04,8.0,1.0,1000.0,11000.0,48.19,5.0
2023-07-05,7.0,0.0,0.0,0.0,96.14,4.0
2023-07-06,7.0,0.0,0.0,0.0,87.13,29.0
2023-07-07,10.0,0.0,0.0,0.0,91.83,27.0
2023-07-08,15.0,1.0,1000.0,11500.0,141.89,32.0
2023-07-09,11.0,0.0,0.0,0.0,139.87,48.0
2023-07-10,18.0,0.0,0.0,0.0,140.51999999999998,59.0
2023-07-11,9.0,0.0,0.0,0.0,119.77,18.0
2023-07-12,21.0,0.0,0.0,0.0,99.15,28.0
2023-07-13,25.0,0.0,0.0,0.0,107.72,94.0
2023-07-14,32.0,0.0,0.0,0.0,172.86,105.0
2023-07-15,22.0,1.0,450.0,4000.0,158.73000000000002,26.0
2023-07-16,15.0,0.0,0.0,0.0,155.44,24.0
2023-07-17,32.0,1.0,1000.0,11000.0,171.84,118.0
2023-07-18,48.0,1.0,1000.0,5000.0,381.87,103.0
2023-07-19,29.0,1.0,350.0,3500.0,372.82,69.0
2023-07-20,25.0,0.0,0.0,0.0,287.2,45.0
2023-07-21,31.0,0.0,0.0,0.0,386.34999999999997,104.0
2023-07-22,21.0,0.0,0.0,0.0,220.43,120.0
2023-07-23,23.0,0.0,0.0,0.0,228.89,152.0
2023-07-24,32.0,0.0,0.0,0.0,260.21,108.0
2023-07-25,17.0,0.0,0.0,0.0,154.18,42.0
2023-07-26,26.0,1.0,0.0,0.0,160.63,52.0
2023-07-27,48.0,0.0,0.0,0.0,643.88,132.0
2023-07-28,30.0,1.0,1000.0,4000.0,385.56,112.0
2023-07-29,27.0,0.0,0.0,0.0,298.79,116.0
2023-07-30,24.0,1.0,350.0,3500.0,249.66,80.0
2023-07-31,37.0,1.0,1000.0,11500.0,290.5,81.0
2023-08-01,29.0,1.0,350.0,3500.0,237.37,85.0
2023-08-02,36.0,1.0,350.0,3500.0,395.87,87.0
2023-08-03,21.0,4.0,3350.0,37500.0,273.51,137.0
2023-08-04,27.0,2.0,700.0,7000.0,341.57,119.0
2023-08-05,25.0,0.0,0.0,0.0,261.49,123.0
2023-08-06,41.0,1.0,350.0,3500.0,376.83,102.0
2023-08-07,25.0,0.0,0.0,0.0,402.36,81.0
2023-08-08,47.0,1.0,1000.0,11000.0,386.17,120.0
2023-08-09,44.0,2.0,2350.0,7000.0,405.56,182.0
2023-08-10,42.0,2.0,1350.0,14500.0,250.76,109.0
2023-08-11,22.0,0.0,0.0,0.0,201.07,160.0
2023-08-12,27.0,1.0,350.0,4000.0,280.03,147.0
2023-08-13,26.0,0.0,0.0,0.0,237.5,73.0
2023-08-14,27.0,2.0,1450.0,15500.0,247.86,66.0
2023-08-15,36.0,3.0,1050.0,10500.0,261.07,197.0
2023-08-16,34.0,3.0,2350.0,26500.0,298.4,130.0
2023-08-17,29.0,3.0,1700.0,18500.0,267.67,150.0
2023-08-18,35.0,1.0,350.0,3500.0,269.19,153.0
2023-08-19,28.0,1.0,350.0,3500.0,274.59,167.0
2023-08-20,78.0,3.0,650.0,7500.0,243.28,245.0
2023-08-21,94.0,1.0,1000.0,11000.0,363.71,244.0
2023-08-22,47.0,3.0,1050.0,10500.0,285.96000000000004,120.0
2023-08-23,39.0,2.0,2350.0,7500.0,280.96999999999997,146.0
2023-08-24,61.0,5.0,4700.0,33000.0,445.05,191.0
2023-08-25,33.0,0.0,0.0,0.0,281.23,156.0
2023-08-26,31.0,0.0,0.0,0.0,234.52,87.0
2023-08-27,15.0,0.0,0.0,0.0,232.51,118.0
2023-08-28,26.0,1.0,350.0,3500.0,263.77000000000004,132.0
2023-08-29,27.0,3.0,3000.0,34000.0,255.87,122.0
2023-08-30,26.0,3.0,1700.0,18000.0,241.08,127.0
2023-08-31,7.0,0.0,0.0,0.0,236.91,175.0
2023-09-01,20.0,0.0,0.0,0.0,181.65,86.0
2023-09-02,13.0,0.0,0.0,0.0,223.92,84.0
2023-09-03,14.0,0.0,0.0,0.0,356.53999999999996,51.0
2023-09-04,42.0,2.0,1500.0,15000.0,355.76,105.0
2023-09-05,20.0,0.0,0.0,0.0,182.33,124.0
2023-09-06,34.0,1.0,1000.0,11000.0,241.31,83.0
2023-09-07,27.0,0.0,0.0,0.0,190.7,156.0
2023-09-08,19.0,1.0,350.0,3500.0,176.51,156.0
2023-09-09,16.0,1.0,450.0,4500.0,204.4,91.0
2023-09-10,28.0,0.0,0.0,0.0,217.05,57.0
2023-09-11,22.0,2.0,1500.0,15500.0,214.18,162.0
2023-09-12,28.0,2.0,1450.0,16000.0,240.87,165.0
2023-09-13,56.0,0.0,0.0,0.0,301.21999999999997,314.0
2023-09-14,31.0,0.0,0.0,0.0,222.37,268.0
2023-09-15,34.0,1.0,1000.0,11000.0,338.42,221.0
2023-09-16,30.0,2.0,2000.0,22000.0,226.62,121.0
2023-09-17,31.0,1.0,450.0,4500.0,266.5,87.0
2023-09-18,40.0,4.0,5000.0,38000.0,280.03,243.0
2023-09-19,24.0,0.0,0.0,0.0,269.98,243.0
2023-09-20,58.0,3.0,4000.0,26000.0,532.0699999999999,198.0
2023-09-21,55.0,2.0,2000.0,22000.0,284.02,157.0
2023-09-22,43.0,2.0,1350.0,15000.0,380.54,242.0
2023-09-23,47.0,4.0,2500.0,26500.0,594.5,87.0
2023-09-24,47.0,2.0,2000.0,22500.0,350.17,118.0
2023-09-25,39.0,3.0,2450.0,27500.0,320.62,217.0
2023-09-26,55.0,8.0,6400.0,58500.0,328.39,256.0
2023-09-27,56.0,1.0,1000.0,11000.0,293.9,379.0
2023-09-28,45.0,1.0,300.0,4000.0,347.33,310.0
2023-09-29,61.0,9.0,4300.0,45000.0,318.19,220.0
