source,spend,deals,paid_deals,revenue_cash,revenue_contract,paid_rate,cpl_deal,cpa,cash_roas,contract_roas
Google Ads,57798.6,4226.0,173.0,167850.0,1279500.0,0.04093705631803123,13.676904874585896,334.0959537572254,2.904049579055548,22.13721439619645
Facebook Ads,33754.72,4850.0,202.0,222150.0,1550700.0,0.04164948453608248,6.959736082474227,167.10257425742574,6.581301814975801,45.940241838770994
Youtube Ads,14633.33,1657.0,53.0,59450.0,415500.0,0.03198551599275799,8.831219070609535,276.10056603773586,4.062643294451775,28.394083916647816
Bloggers,13439.0,1089.0,39.0,33100.0,288000.0,0.03581267217630854,12.340679522497704,344.5897435897436,2.4629808765533148,21.430165934965398
Tiktok Ads,11985.67,2051.0,56.0,66650.0,368500.0,0.027303754266211604,5.843817649926865,214.02982142857144,5.560807197261396,30.745048044873588
SMM,7269.52,1730.0,91.0,96250.0,602000.0,0.05260115606936416,4.202034682080925,79.88483516483517,13.240213934345045,82.8115198802672
Telegram posts,6860.36,1000.0,40.0,41950.0,300000.0,0.04,6.86036,171.509,6.114839454489269,43.72948358395186
Webinar,2874.04,378.0,26.0,55150.0,182700.0,0.06878306878306878,7.603280423280423,110.53999999999999,19.189016158438992,63.569052622788824
Test,608.21,159.0,3.0,2200.0,24000.0,0.018867924528301886,3.8252201257861635,202.73666666666668,3.61717170056395,39.46005491524309
Radio,300.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
Organic,0.0,2589.0,147.0,179951.0,1081001.0,0.056778679026651215,0.0,0.0,,
Offline,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,
CRM,0.0,1656.0,24.0,15600.0,167500.0,0.014492753623188406,0.0,0.0,,
Partnership,0.0,203.0,4.0,3350.0,36000.0,0.019704433497536946,0.0,0.0,,
