column,missing_count,missing_pct
payment_type,21096,97.7
months_of_study,20752,96.11
level_of_deutsch,20341,94.21
city,19081,88.37
education_type,18292,84.72
course_duration,18005,83.39
product,18000,83.36
initial_amount_paid,17443,80.78
offer_total_amount,17428,80.72
term,9139,42.33
content,7446,34.48
closing_date,6949,32.18
sla_timedelta,6059,28.06
sla_minutes,6059,28.06
campaign,5526,25.59
lost_reason,5470,25.33
lost_reason_norm,5470,25.33
quality,2254,10.44
contact_id_raw,63,0.29
contact_id_str,63,0.29
contact_id15,63,0.29
deal_owner_name,31,0.14
revenue_contract,26,0.12
revenue_cash,25,0.12
deal_id_raw,2,0.01
stage,2,0.01
page,2,0.01
source,2,0.01
created_time,2,0.01
deal_id_str,2,0.01
deal_id15,2,0.01
stage_norm,2,0.01
deal_row_id,0,0.0
sla_raw,0,0.0
is_paid,0,0.0
is_duplicate_lost,0,0.0
