campaign,count,share_pct
NA,5526,25.59
performancemax_digitalmarkt_ru_DE,2653,12.29
youtube_shorts_DE,1635,7.57
12.07.2023wide_DE,1575,7.29
02.07.23wide_DE,975,4.52
04.07.23recentlymoved_DE,750,3.47
03.07.23women,612,2.83
Dis_DE,581,2.69
07.07.23LAL_DE,542,2.51
12.09.23interests_Uxui_DE,531,2.46
24.09.23retargeting_DE,479,2.22
webinar1604,343,1.59
work_DE,317,1.47
webinar1906,290,1.34
08.04.24wide_webinar_DE,284,1.32
blog2_DE,273,1.26
1performancemax_wide_PL,261,1.21
BloggerShina_DE,246,1.14
performancemax_eng_DE,245,1.13
brand_search_eng_DE,168,0.78
web2408_DE,158,0.73
bbo_DE,154,0.71
mu_DE,151,0.7
15.07.23b_DE,139,0.64
performancemax_wide_AT,124,0.57
20.03.2024wide_PL,121,0.56
02.05.24test_DE,121,0.56
ASA_de_DE,112,0.52
08.06.24wide_webinar_DE,112,0.52
14.11.23wide_webinar_DE,109,0.5
