city,count,share_pct
NA,19081,88.37
-,348,1.61
Berlin,182,0.84
München,74,0.34
Hamburg,62,0.29
Leipzig,45,0.21
Nürnberg,45,0.21
Düsseldorf,33,0.15
Dresden,28,0.13
Frankfurt,27,0.13
Dortmund,26,0.12
Köln,25,0.12
Stuttgart,20,0.09
Duisburg,19,0.09
Hannover,19,0.09
Bremen,17,0.08
Essen,16,0.07
Karlsruhe,16,0.07
Bochum,15,0.07
Villingen-Schwenningen,14,0.06
Augsburg,13,0.06
Mannheim,12,0.06
Mönchengladbach,12,0.06
Wien,12,0.06
Rostock,12,0.06
Braunschweig,10,0.05
Chemnitz,10,0.05
Regensburg,10,0.05
Freiburg,9,0.04
Passau,9,0.04
