lost_reason,count,share_pct
NA,5470,25.33
Doesn't Answer,4134,19.15
Changed Decision,2146,9.94
Duplicate,1770,8.2
Non target,1761,8.16
Stopped Answering,1588,7.35
Invalid number,1481,6.86
needs time to think,655,3.03
Expensive,626,2.9
Conditions are not suitable,531,2.46
Next stream,288,1.33
Inadequate,176,0.82
Gutstein refusal,172,0.8
Considering a different direction in IT,148,0.69
Not for myself,145,0.67
Does not speak English,138,0.64
Didn't leave an application,133,0.62
Thought for free,110,0.51
Does not know how to use a computer,50,0.23
Went to Rivals,48,0.22
The contract did not fit,21,0.1
Refugee,1,0.0
