source,deals_count,paid_count,revenue_cash,revenue_contract,spend_total,cpl,cpa,roas_cash,roas_contract,paid_rate,aov_cash,aov_contract
Bloggers,1089,39,33100.0,288000.0,13439.0,12.340679522497704,344.5897435897436,2.4629808765533148,21.430165934965398,0.03581267217630854,848.7179487179487,7384.615384615385
CRM,1656,24,15600.0,167500.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,650.0,6979.166666666667
Facebook Ads,4850,202,222150.0,1550700.0,33754.72,6.959736082474227,167.10257425742574,6.581301814975801,45.940241838770994,0.04164948453608248,1099.7524752475247,7676.732673267326
Google Ads,4226,173,167850.0,1279500.0,57798.6,13.676904874585896,334.0959537572254,2.904049579055548,22.13721439619645,0.04093705631803123,970.2312138728323,7395.953757225434
Offline,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Organic,2589,147,179951.0,1081001.0,0.0,0.0,0.0,0.0,0.0,0.056778679026651215,1224.156462585034,7353.748299319728
Partnership,203,4,3350.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.019704433497536946,837.5,9000.0
SMM,1730,91,96250.0,602000.0,7269.52,4.202034682080925,79.88483516483517,13.240213934345045,82.8115198802672,0.05260115606936416,1057.6923076923076,6615.384615384615
Telegram posts,1000,40,41950.0,300000.0,6860.36,6.86036,171.509,6.114839454489269,43.72948358395186,0.04,1048.75,7500.0
Test,159,3,2200.0,24000.0,608.21,3.8252201257861635,202.73666666666668,3.61717170056395,39.46005491524309,0.018867924528301886,733.3333333333334,8000.0
Tiktok Ads,2051,56,66650.0,368500.0,11985.67,5.843817649926865,214.02982142857144,5.560807197261396,30.745048044873588,0.027303754266211604,1190.1785714285713,6580.357142857143
Webinar,378,26,55150.0,182700.0,2874.04,7.603280423280423,110.53999999999999,19.189016158438992,63.569052622788824,0.06878306878306878,2121.153846153846,7026.923076923077
Youtube Ads,1657,53,59450.0,415500.0,14633.33,8.831219070609535,276.10056603773586,4.062643294451775,28.394083916647816,0.03198551599275799,1121.698113207547,7839.622641509434
