campaign,count,share_pct
NA,5077,25.56
12.07.2023wide_DE,2073,10.44
02.07.23wide_DE,1685,8.48
04.07.23recentlymoved_DE,1398,7.04
youtube_shorts_DE,1223,6.16
07.07.23LAL_DE,1181,5.95
03.07.23women,1171,5.9
12.09.23interests_Uxui_DE,1143,5.75
15.07.23b_DE,529,2.66
24.09.23retargeting_DE,504,2.54
performancemax_eng_DE,355,1.79
20.03.2024wide_PL,240,1.21
30.11.23wide_DE,233,1.17
05.07.23interests_DE,214,1.08
17.03.24wide_AT,198,1.0
07.12.23test_DE,176,0.89
20.03.24interests_WebDev_PL,169,0.85
discovery_DE,166,0.84
brand_search_eng_DE,146,0.74
youtube_shortsin_AT,133,0.67
08.04.24wide_webinar_DE,133,0.67
20.05.24interests_DE,130,0.65
20.03.24_widde_PL,129,0.65
15.03.2024wide_AT,111,0.56
15.11.23wide_webinar_DE,107,0.54
01.04.23women_PL,103,0.52
performancemax_wide_AT,93,0.47
05.09.2023wide_DE,88,0.44
18.10.23wide_gos_DE,80,0.4
web2408_DE,76,0.38
